@relation DM_predicao_dataset

@attribute data date "dd/mm/yyyy"
@attribute dia {ter,qua,qui,sex,sab,dom,seg}
@attribute fluxo numeric

@data
29/08/2002,qui,14832
30/08/2002,sex,14774
31/08/2002,sab,13476
01/09/2002,dom,12203
02/09/2002,seg,14603
03/09/2002,ter,14733
04/09/2002,qua,14576
05/09/2002,qui,14417
06/09/2002,sex,14500
07/09/2002,sab,12520
08/09/2002,dom,12086
09/09/2002,seg,14565
10/09/2002,ter,14883
11/09/2002,qua,14709
12/09/2002,qui,14811
13/09/2002,sex,14752
14/09/2002,sab,13570
15/09/2002,dom,12423
16/09/2002,seg,14664
17/09/2002,ter,14871
18/09/2002,qua,14952
19/09/2002,qui,15047
20/09/2002,sex,15074
21/09/2002,sab,13852
22/09/2002,dom,12572
23/09/2002,seg,14915
24/09/2002,ter,14988
25/09/2002,qua,14934
26/09/2002,qui,15021
27/09/2002,sex,15014
28/09/2002,sab,13481
29/09/2002,dom,12183
30/09/2002,seg,14388
01/10/2002,ter,14636
02/10/2002,qua,14849
03/10/2002,qui,14940
04/10/2002,sex,14978
05/10/2002,sab,13563
06/10/2002,dom,12103
07/10/2002,seg,14484
08/10/2002,ter,14936
09/10/2002,qua,15050
10/10/2002,qui,15175
11/10/2002,sex,15000
12/10/2002,sab,13113
13/10/2002,dom,11989
14/10/2002,seg,14324
15/10/2002,ter,14551
16/10/2002,qua,14731
17/10/2002,qui,14818
18/10/2002,sex,14660
19/10/2002,sab,13454
20/10/2002,dom,12155
21/10/2002,seg,14611
22/10/2002,ter,14953
23/10/2002,qua,14934
24/10/2002,qui,14948
25/10/2002,sex,14843
26/10/2002,sab,13593
27/10/2002,dom,12151
28/10/2002,seg,13675
29/10/2002,ter,15016
30/10/2002,qua,14974
31/10/2002,qui,15030
01/11/2002,sex,14862
02/11/2002,sab,13028
03/11/2002,dom,11573
04/11/2002,seg,14439
05/11/2002,ter,14762
06/11/2002,qua,14786
07/11/2002,qui,14986
08/11/2002,sex,14943
09/11/2002,sab,13435
10/11/2002,dom,12137
11/11/2002,seg,14559
12/11/2002,ter,14991
13/11/2002,qua,15144
14/11/2002,qui,15043
15/11/2002,sex,13231
16/11/2002,sab,13428
17/11/2002,dom,12274
18/11/2002,seg,14540
19/11/2002,ter,14988
20/11/2002,qua,14974
21/11/2002,qui,15146
22/11/2002,sex,15117
23/11/2002,sab,13824
24/11/2002,dom,12614
25/11/2002,seg,14912
26/11/2002,ter,15238
27/11/2002,qua,15314
28/11/2002,qui,15330
29/11/2002,sex,15358
30/11/2002,sab,14087
01/12/2002,dom,12789
02/12/2002,seg,14866
03/12/2002,ter,15112
04/12/2002,qua,15317
05/12/2002,qui,15410
06/12/2002,sex,15339
07/12/2002,sab,14171
08/12/2002,dom,12610
09/12/2002,seg,14185
10/12/2002,ter,14097
11/12/2002,qua,14472
12/12/2002,qui,14823
13/12/2002,sex,14883
14/12/2002,sab,13814
15/12/2002,dom,12819
16/12/2002,seg,15101
17/12/2002,ter,15216
18/12/2002,qua,15045
19/12/2002,qui,14783
20/12/2002,sex,14518
21/12/2002,sab,13398
22/12/2002,dom,12606
23/12/2002,seg,14426
24/12/2002,ter,13877
25/12/2002,qua,11984
26/12/2002,qui,14009
27/12/2002,sex,14127
28/12/2002,sab,13194
29/12/2002,dom,12293
30/12/2002,seg,13922
31/12/2002,ter,13450
01/01/2003,qua,10385
02/01/2003,qui,12064
03/01/2003,sex,12511
04/01/2003,sab,11866
05/01/2003,dom,10990
06/01/2003,seg,12905
07/01/2003,ter,13150
08/01/2003,qua,13080
09/01/2003,qui,13032
10/01/2003,sex,12924
11/01/2003,sab,11859
12/01/2003,dom,10732
13/01/2003,seg,12721
14/01/2003,ter,12870
15/01/2003,qua,12906
16/01/2003,qui,12964
17/01/2003,sex,12850
18/01/2003,sab,11756
19/01/2003,dom,10465
20/01/2003,seg,12212
21/01/2003,ter,12268
22/01/2003,qua,12169
23/01/2003,qui,12145
24/01/2003,sex,12294
25/01/2003,sab,11496
26/01/2003,dom,10373
27/01/2003,seg,11897
28/01/2003,ter,11776
29/01/2003,qua,12095
30/01/2003,qui,12246
31/01/2003,sex,12015
01/02/2003,sab,11587
02/02/2003,dom,10342
03/02/2003,seg,12481
04/02/2003,ter,12863
05/02/2003,qua,12989
06/02/2003,qui,12997
07/02/2003,sex,13197
08/02/2003,sab,12184
09/02/2003,dom,10981
10/02/2003,seg,12736
11/02/2003,ter,13232
12/02/2003,qua,13270
13/02/2003,qui,13055
14/02/2003,sex,12836
15/02/2003,sab,12592
16/02/2003,dom,10926
17/02/2003,seg,11179
18/02/2003,ter,12991
19/02/2003,qua,13071
20/02/2003,qui,13025
21/02/2003,sex,13098
22/02/2003,sab,12153
23/02/2003,dom,10847
24/02/2003,seg,12593
25/02/2003,ter,13034
26/02/2003,qua,13248
27/02/2003,qui,13207
28/02/2003,sex,13032
01/03/2003,sab,11853
02/03/2003,dom,10821
03/03/2003,seg,11721
04/03/2003,ter,10998
05/03/2003,qua,12097
06/03/2003,qui,12864
07/03/2003,sex,12997
08/03/2003,sab,12008
09/03/2003,dom,11051
10/03/2003,seg,12999
11/03/2003,ter,13415
12/03/2003,qua,13458
13/03/2003,qui,13074
14/03/2003,sex,13012
15/03/2003,sab,11854
16/03/2003,dom,11021
17/03/2003,seg,12917
18/03/2003,ter,13219
19/03/2003,qua,13241
20/03/2003,qui,13583
21/03/2003,sex,13580
22/03/2003,sab,12024
23/03/2003,dom,10809
24/03/2003,seg,13387
25/03/2003,ter,13534
26/03/2003,qua,13254
27/03/2003,qui,13389
28/03/2003,sex,13411
29/03/2003,sab,12278
30/03/2003,dom,11198
31/03/2003,seg,13135
01/04/2003,ter,13484
02/04/2003,qua,13278
03/04/2003,qui,13416
04/04/2003,sex,13488
05/04/2003,sab,12400
06/04/2003,dom,11173
07/04/2003,seg,13261
08/04/2003,ter,13670
09/04/2003,qua,13605
10/04/2003,qui,13557
11/04/2003,sex,13674
12/04/2003,sab,12687
13/04/2003,dom,11595
14/04/2003,seg,13561
15/04/2003,ter,13489
16/04/2003,qua,13641
17/04/2003,qui,13088
18/04/2003,sex,10978
19/04/2003,sab,11743
20/04/2003,dom,11149
21/04/2003,seg,11603
22/04/2003,ter,13801
23/04/2003,qua,13728
24/04/2003,qui,13679
25/04/2003,sex,13647
26/04/2003,sab,12312
27/04/2003,dom,11366
28/04/2003,seg,13343
29/04/2003,ter,13819
30/04/2003,qua,13848
01/05/2003,qui,11462
02/05/2003,sex,13012
03/05/2003,sab,12252
04/05/2003,dom,11273
05/05/2003,seg,13046
06/05/2003,ter,13199
07/05/2003,qua,13546
08/05/2003,qui,13964
09/05/2003,sex,13979
10/05/2003,sab,12699
11/05/2003,dom,11431
12/05/2003,seg,13632
13/05/2003,ter,13604
14/05/2003,qua,13720
15/05/2003,qui,13613
16/05/2003,sex,13526
17/05/2003,sab,12440
18/05/2003,dom,11342
19/05/2003,seg,13596
20/05/2003,ter,13866
21/05/2003,qua,13852
22/05/2003,qui,14019
23/05/2003,sex,14152
24/05/2003,sab,13000
25/05/2003,dom,11819
26/05/2003,seg,13986
27/05/2003,ter,14014
28/05/2003,qua,13936
29/05/2003,qui,14013
30/05/2003,sex,13947
31/05/2003,sab,12572
01/06/2003,dom,11279
02/06/2003,seg,13355
03/06/2003,ter,13689
04/06/2003,qua,13796
05/06/2003,qui,13700
06/06/2003,sex,13685
07/06/2003,sab,12659
08/06/2003,dom,11476
09/06/2003,seg,13522
10/06/2003,ter,13837
11/06/2003,qua,13869
12/06/2003,qui,13958
13/06/2003,sex,13763
14/06/2003,sab,12637
15/06/2003,dom,11491
16/06/2003,seg,13502
17/06/2003,ter,13416
18/06/2003,qua,13511
19/06/2003,qui,11652
20/06/2003,sex,13480
